Symbol,Risk
CMI,20.868367540009135
CVS,22.19879583991185
DHI,24.867458142956362
DHR,17.043826494428078
DRI,23.65062487237618
DVA,31.75117230386908
DE,25.919259080560092
DLPH,31.010967808056648
DAL,23.797624452283593
XRAY,24.465667373008007
DVN,34.13989154995932
DLR,42.64482313628567
DFS,21.908947279579984
DISCA,34.90498796917137
DISCK,36.210202695996294
DG,22.174013572643794
DLTR,27.183912272839706
D,13.645902896883358
DOV,21.2859702255593
DOW,42.64482313628567
DPS,15.958872756775316
DTE,13.023451585609461
DD,42.64482313628567
DUK,13.83781781316544
DNB,21.299525440224894
ETFC,22.19860979215135
EMN,19.32868206677699
ETN,20.614302006571823
EBAY,23.960002163514087
ECL,16.41685326418307
EIX,42.64482313628567
EW,27.77724025780127
EA,25.886832579792625
EMR,20.612138267704637
ETR,18.156658616515912
EVHC,48.720937539076175
EOG,24.898204776779895
EQT,34.69283702522626
EFX,36.45919697972278
EQIX,21.669434807607516
EQR,19.779287378752475
ESS,20.054417497066332
EL,20.4041122825143
ES,13.41469346422273
EXC,17.39162378817494
EXPE,30.465814525772423
EXPD,17.67818221266061
ESRX,25.646422087795784
EXR,20.49369319595698
XOM,15.820224168614013
FFIV,23.08343151987183
FB,20.8884480114439
FAST,23.105162700605444
FRT,42.64482313628567
FDX,19.028190633589777
FIS,15.796714511274827
FITB,19.878598705979435
FSLR,54.357373014798505
FE,22.701046724573523
FISV,15.263471027672129
FLIR,24.95574616450963
FLS,30.203397352134253
FLR,28.05801403644242
FMC,29.72151749210615
FTI,29.35694933110661
FL,56.12056206038806
F,25.560213201286924
FTV,19.083949079771035
FBHS,18.22176964064616
BEN,21.841135825906846
FCX,46.46178540030921
FTR,65.6622990366829
GPS,37.90009784711927
GRMN,24.526358756275567
GD,17.242154675328628
GE,25.771023394404686
GGP,26.171380567818737
GIS,17.24510191887547
GM,28.75624339808258
GPC,22.15955872610118
GILD,25.74947523151418
GPN,21.5825255062115
GS,42.64482313628567
GT,30.472649274589642
GWW,32.43716443176262
HAL,0.0
HBI,27.91090431012247
HOG,0.0
HAR,42.64482313628567
HRS,19.692058937794098
HIG,20.072506535540935
HAS,24.988808856466314
HCA,20.442940483738052
HCP,25.21805874897684
HP,36.19898698542271
HSIC,23.858976373007522
HES,33.440143271861366
HPE,42.220592414698984
HOLX,23.355914728417662
HD,15.880909669460861
HON,15.581727847115017
HRL,21.350243064639
HST,36.18623827778929
HPQ,24.021583235929885
HUM,23.772677983071574
HBAN,19.847375241119742
IDXX,24.011964471754986
ITW,18.688059273643734
ILMN,33.59101277077966
INCY,42.803643501683396
IR,21.42623809188383
INTC,27.26827918314065
ICE,19.942337528311686
IBM,21.08244940515328
IP,18.828083062620678
IPG,25.088123900014008
IFF,20.016552745100306
INTU,18.423698925662286
ISRG,21.123901700944145
IVZ,23.326884524750767
IRM,23.787415545009864
JBHT,19.99908474823125
JEC,24.62959444002409
SJM,23.22476827477158
JNJ,17.19951804599002
JCI,24.911673125464663
JPM,18.478141654584626
JNPR,27.223550018040367
KSU,22.11976187359109
K,17.645099413250744
KEY,20.816463193667552
KMB,15.5633156966653
KIM,42.64482313628567
KMI,25.539935139614066
KLAC,25.468936936875576
KSS,33.74840397218672
KHC,17.472446020782883
KR,34.96637261527071
